ID,duration,age,gender,gender_open,ethnicty,ethnicity_open,Winning1,Winning2,Winning3,Winning4_R,Winning5,Emotion1,Emotion2_R,Emotion3,Emotion4,Emotion5_R,Risk1,Risk2,Risk3,Risk4_R,Risk5_R,Violence1,Violence2_R,Violence3,Violence4,Violence5_R,Playboy1,Playboy2,Playboy3,Playboy4_R,Playboy5_R,SelfReliance1,SelfReliance2,SelfReliance3,SelfReliance4,SelfReliance5_R,Hetero1,Hetero2,Hetero3,Hetero4,Hetero5_R,WorkPrimacy1_R,WorkPrimacy2,WorkPrimacy3_R,WorkPrimacy4,WorkPrimacy5,PoW1,PoW2,PoW3,PoW4_R,PoW5,Shoplifting_1,Shoplifting_2,Shoplifting_3,Trespassing_1,Trespassing_2,Trespassing_3,Speeding_1,Speeding_2,Speeding_3,Incitement_to_riot_1,Incitement_to_riot_2,Incitement_to_riot_3,Fake_ID/Fraud_1,Fake_ID/Fraud_2,Fake_ID/Fraud_3,Suspended_license_1,Suspended_license_2,Suspended_license_3,Drunk_driving_1,Drunk_driving_2,Drunk_driving_3,Domestic_abuse_1,Domestic_abuse_2,Domestic_abuse_3,Embezzlement_1,Embezzlement_2,Embezzlement_3,Prank_calling_911_1,Prank_calling_911_2,Prank_calling_911_3,Drug_dealing_1,Drug_dealing_2,Drug_dealing_3,Grafitti/Vandalism_1,Grafitti/Vandalism_2,Grafitti/Vandalism_3,Burglary_1,Burglary_2,Burglary_3,Throw_rocks_at_cars_1,Throw_rocks_at_cars_2,Throw_rocks_at_cars_3,Carry_gun_w/o_permit_1,Carry_gun_w/o_permit_2,Carry_gun_w/o_permit_3,Car_theft_1,Car_theft_2,Car_theft_3,Insider_trading_1,Insider_trading_2,Insider_trading_3,Handling_stolen_good_1,Handling_stolen_good_2,Handling_stolen_good_3,Credit_card_fraud_1,Credit_card_fraud_2,Credit_card_fraud_3,Robbery_1,Robbery_2,Robbery_3,Refusing_to_cooperat_1,Refusing_to_cooperat_2,Refusing_to_cooperat_3,Helmet_law_1,Helmet_law_2,Helmet_law_3,Carrying_knife_1,Carrying_knife_2,Carrying_knife_3,Public_drinking_1,Public_drinking_2,Public_drinking_3,Assault_1,Assault_2,Assault_3,Prostitution_1,Prostitution_2,Prostitution_3,Child_support_1,Child_support_2,Child_support_3,Desertion_1,Desertion_2,Desertion_3,StreetFight_1,StreetFight_2,StreetFight_3,StreetRace_1,StreetRace_2,StreetRace_3,Armed_Robbery_1,Armed_Robbery_2,Armed_Robbery_3,MobEnforcer_1,MobEnforcer_2,MobEnforcer_3,Pimp_1,Pimp_2,Pimp_3,Terrorist_1,Terrorist_2,Terrorist_3,Reckless_Road_Rage_1,Reckless_Road_Rage_2,Reckless_Road_Rage_3,FistFight_1,FistFight_2,FistFight_3,Vigilante_1,Vigilante_2,Vigilante_3,Gun_Crime_1,Gun_Crime_2,Gun_Crime_3,Illegal_gambling_den_1,Illegal_gambling_den_2,Illegal_gambling_den_3,Jewel_Thief_1,Jewel_Thief_2,Jewel_Thief_3,Suspicious_data
11,423,47,Male,,Caucasian,,1,2,2,4,1,1,3,2,1,3,2,3,1,2,2,2,3,2,1,3,1,1,2,2,2,1,1,1,3,4,1,1,1,1,4,2,1,3,2,2,1,1,1,1,1,,,,,,,,,,6,6,5,,,,,,,,,,,,,,,,,,,,,,3,5,3,,,,,,,,,,3,5,3,,,,,,,6,5,4,,,,,,,5,5,5,,,,,,,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,,,,,,,3,5,3,,,,,,,0
12,299,51,Male,,Asian,,2,2,3,4,2,1,2,4,2,2,4,2,2,2,2,4,1,3,3,2,4,4,4,1,1,1,2,2,4,4,3,3,3,3,3,3,2,3,2,4,4,3,4,2,4,1,5,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,6,1,1,1,1,,,,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,,,,,,,,,,,,,5,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,0
13,309,40,Male,,Caucasian,,3,3,4,2,4,2,3,3,2,2,3,3,3,2,3,3,3,1,1,4,4,4,1,1,1,2,2,3,3,3,2,2,2,2,2,2,4,2,4,4,2,2,2,3,2,,,,,,,,,,1,1,1,,,,,,,1,5,4,,,,,,,,,,2,2,3,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,4,4,1,,,,,,,0
14,635,27,Male,,Caucasian,,2,2,3,3,2,1,3,3,2,2,3,2,1,2,2,2,3,3,1,4,2,2,2,2,2,2,2,2,3,4,1,2,1,2,1,2,1,3,2,3,1,1,3,2,1,,,,,,,3,3,2,,,,,,,5,5,3,,,,,,,,,,,,,3,2,1,1,1,1,1,3,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,415,36,Female,,Caucasian,,1,2,2,3,1,1,3,2,1,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,3,4,2,2,2,1,4,2,1,3,2,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,,,,,,,5,3,2,,,,,,,,,,,,,,,,2,4,1,1,3,3,1,3,1,,,,,,,,,,2,5,5,,,,2,3,2,0
16,449,47,Male,,Caucasian,,2,1,3,4,2,1,3,2,1,3,3,3,2,2,2,1,3,3,1,3,1,1,1,4,4,1,1,3,2,4,2,2,2,2,3,3,2,3,2,3,1,2,2,2,2,3,6,3,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,,,,,,,1,7,1,,,,,,,1,1,1,,,,,,,,,,,,,1,2,1,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,0
17,413,53,Female,,Caucasian,,2,2,3,2,3,2,3,3,2,2,3,3,1,2,2,3,2,3,2,3,1,1,2,3,3,2,2,2,3,4,2,2,2,2,2,2,3,2,3,4,2,2,2,3,2,,,,,,,5,5,5,,,,,,,1,3,1,,,,1,1,1,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,1,5,1,,,,,,,0
18,415,30,Female,,Hispanic/Latino,,2,3,3,3,3,1,3,3,1,3,4,3,1,3,3,3,2,3,1,3,1,1,1,4,4,2,1,1,4,4,3,2,3,3,3,3,3,3,3,4,3,2,1,3,2,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,,,,4,3,2,4,5,6,,,,5,5,1,,,,0
19,490,33,Male,,Caucasian,,2,1,3,4,2,1,4,4,2,2,3,3,2,2,2,3,3,2,2,3,2,1,1,3,3,1,1,3,3,3,1,1,1,1,4,2,2,4,2,3,1,1,1,3,1,,,,5,7,5,,,,,,,4,8,6,3,4,2,1,2,2,,,,1,4,2,,,,,,,2,6,2,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,612,47,Female,,Caucasian,,1,2,2,3,2,2,3,2,2,3,3,2,1,2,2,3,3,3,1,3,1,1,1,3,3,1,2,3,3,4,2,2,2,2,3,3,2,3,2,3,1,2,2,2,2,,,,,,,5,5,4,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,8,1,1,5,1,,,,,,,1,5,4,,,,1,2,1,,,,,,,,,,,,,,,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,0
21,617,58,Female,,Black/African,,1,2,2,3,2,1,3,3,2,3,2,2,1,3,2,1,2,1,1,2,2,1,2,3,3,2,2,3,4,3,2,1,1,1,3,2,3,2,3,4,2,2,2,2,1,2,5,1,,,,,,,,,,,,,5,5,4,,,,1,3,1,2,4,1,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,1,8,1,,,,3,7,4,,,,,,,,,,,,,0
22,453,52,Female,,Caucasian,,1,1,2,2,1,1,3,2,1,3,3,2,1,2,2,3,2,3,3,3,1,1,3,3,3,1,1,2,3,4,1,1,1,1,4,2,1,3,2,3,1,2,1,2,1,5,5,5,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,1,1,1,1,1,1,,,,,,,,,,5,5,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,0
23,140,55,Female,,Caucasian,,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,3,2,2,4,3,3,2,1,7,1,,,,,,,,,,,,,1,4,1,1,7,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,,,,,,,,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,1,7,1,,,,,,,0
24,338,36,Female,,Caucasian,,2,2,2,2,2,1,4,1,1,4,3,2,2,2,2,2,2,2,2,2,1,3,4,1,1,1,1,1,2,4,1,1,1,1,4,2,1,2,1,2,1,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,5,5,4,,,,,,,,,,5,4,3,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,1,1,1,,,,,,,0
25,387,34,Female,,Black/African,,4,2,4,4,4,1,4,4,3,4,4,4,,4,1,1,4,4,1,4,1,1,1,4,4,1,1,4,3,4,4,4,4,3,4,1,4,1,4,4,3,1,4,4,4,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,1,5,1,,,,5,5,5,1,1,1,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,230,37,Female,,Caucasian,,2,2,2,3,2,2,3,3,2,3,2,2,1,3,3,2,2,3,2,3,1,1,1,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,2,4,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,,,,,,,1,1,1,1,5,1,,,,,,,,,,,,,,,,,,,1,3,1,1,1,1,3,7,3,,,,,,,,,,,,,0
27,753,36,Female,,Caucasian,,1,1,1,4,1,1,4,1,1,4,2,1,1,2,1,2,4,1,1,4,1,1,3,1,2,1,1,1,3,4,1,1,1,1,4,3,1,2,1,3,1,1,1,3,1,,,,5,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,5,7,2,,,,,,,,,,,,,,,,,,,,,,9,5,3,,,,,,,,,,,,,,,,,,,9,1,3,,,,,,,,,,,,,,,,,,,3,5,5,,,,,,,,,,5,5,5,,,,0
28,198,48,Female,,Specify other:,White,3,3,4,3,4,4,4,4,3,4,4,4,3,3,4,3,3,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,6,8,8,,,,,,,,,,,,,,,,,,,,,,5,6,7,,,,,,,,,,5,6,7,,,,,,,,,,,,,,,,,,,,,,5,4,5,,,,,,,6,5,5,,,,,,,,,,6,7,8,6,7,8,,,,,,,,,,5,6,7,0
29,331,21,Male,,Asian,,2,1,3,3,2,1,3,3,1,3,3,3,1,2,1,2,2,1,1,2,2,2,2,3,2,2,2,3,3,3,1,1,1,1,4,2,2,2,2,4,2,1,2,2,1,,,,,,,,,,1,7,3,,,,,,,,,,2,6,4,2,2,4,,,,,,,2,6,3,,,,,,,,,,1,8,2,,,,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,,2,3,2,,,,,,,,,,,,,0
30,277,46,Female,,Caucasian,,2,2,3,3,2,2,3,3,2,3,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,2,3,,,,,,,5,5,5,,,,,,,,,,1,1,1,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0
31,299,52,Female,,Caucasian,,2,2,2,3,2,2,3,2,2,3,3,2,1,2,3,2,3,1,1,4,1,1,1,3,3,2,2,2,3,3,2,2,2,2,3,2,2,3,3,3,1,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,2,2,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,4,2,1,4,4,2,1,2,1,1,1,1,,,,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,325,40,Male,,Caucasian,,2,2,3,3,2,1,3,3,2,2,3,3,1,2,2,3,3,2,2,3,2,1,1,2,2,1,1,2,3,4,1,2,2,2,3,2,1,2,2,2,1,2,1,2,1,,,,,,,,,,,,,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,4,5,4,,,,3,5,3,3,5,4,1,3,2,,,,3,3,2,,,,,,,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,518,32,Male,,Native American,,3,2,3,3,3,2,3,3,2,2,3,3,2,2,2,3,3,3,2,2,2,2,2,3,3,2,2,2,3,3,2,2,2,3,3,3,2,3,3,3,2,3,2,2,2,,,,5,6,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,,,,,,,,,,4,5,5,,,,3,7,1,,,,,,,,,,,,,1,1,5,,,,,,,,,,,,,5,6,2,,,,,,,,,,,,,7,7,2,,,,,,,0
34,321,40,Prefer to self-describe:,Agender,Caucasian,,1,1,1,4,1,1,4,2,1,3,2,2,1,2,2,2,4,2,2,4,1,1,2,3,3,1,1,2,2,3,1,1,1,1,4,2,2,3,2,2,1,2,2,2,1,4,4,2,,,,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,,,,,,,,,,7,1,1,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,0
35,240,41,Male,,Caucasian,,1,1,2,3,2,1,3,2,1,1,2,3,1,2,2,2,2,2,2,3,1,2,1,2,1,1,1,1,3,4,2,1,2,1,3,2,2,4,4,4,1,1,1,2,1,,,,,,,,,,,,,,,,4,4,4,8,8,8,,,,8,8,8,,,,,,,,,,,,,7,7,7,,,,9,9,9,,,,,,,9,9,9,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,294,56,Female,,Caucasian,,1,1,2,3,1,1,4,2,1,3,3,2,1,2,3,1,2,1,1,3,1,1,1,3,4,2,2,1,3,4,1,1,1,1,1,3,2,4,2,4,1,1,2,2,1,3,4,3,5,6,4,,,,2,2,2,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,,,,,,,1,7,6,,,,,,,0
37,578,35,Female,,"Black/African,Caucasian",,2,2,3,3,3,2,3,3,2,2,3,3,2,2,2,3,2,3,2,2,1,1,1,3,4,2,2,2,3,3,3,3,2,3,2,2,,2,2,4,3,2,2,3,3,3,6,2,5,8,4,,,,,,,,,,,,,,,,1,4,1,,,,4,5,2,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,6,,,,,,,,,,0
38,465,39,Female,,Hispanic/Latino,,1,2,2,3,1,2,2,2,2,2,3,3,1,2,3,2,3,1,1,3,1,1,2,4,3,2,2,2,3,4,2,2,2,2,3,3,2,3,3,4,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,1,5,5,3,5,1,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,0
39,634,43,Female,,Caucasian,,2,2,2,3,2,1,3,3,1,3,3,2,2,2,2,3,3,3,2,3,1,1,1,3,3,2,2,2,3,4,2,2,2,3,3,2,2,3,2,4,2,2,2,2,2,,,,,,,,,,3,5,5,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,3,5,2,,,,,,,,,,,,,,,,,,,,,,3,6,3,,,,,,,,,,1,1,1,,,,,,,,,,,,,2,5,3,,,,,,,,,,,,,4,5,3,4,5,3,,,,,,,0
40,1147,43,Female,,Caucasian,,3,2,4,3,3,2,4,3,2,3,3,3,2,1,3,3,3,1,1,3,2,1,2,3,3,1,1,2,4,4,2,2,1,1,1,3,1,2,3,4,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,,,,,5,9,4,,,,,,,,,,1,1,9,,,,1,7,5,,,,1,2,1,,,,,,,,,,,,,,,,,,,5,3,7,,,,,,,1,9,1,1,9,5,,,,,,,,,,,,,,,,,,,0
41,739,48,Male,,"Black/African,Caucasian",,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,5,5,4,,,,,,,4,6,3,,,,,,,,,,,,,,,,,,,5,5,3,,,,,,,,,,3,4,1,,,,4,4,2,,,,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,2,3,1,,,,,,,,,,0
42,286,27,Male,,Caucasian,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,2,2,3,3,3,2,2,3,3,2,,,,,,,,,,,,,7,7,7,,,,8,7,7,8,7,7,,,,,,,,,,,,,,,,,,,8,7,7,,,,,,,,,,7,7,7,,,,8,7,7,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,0
43,278,25,Male,,Caucasian,,1,1,2,3,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,3,2,1,1,1,1,3,2,3,1,3,1,1,1,3,1,5,7,1,,,,,,,5,5,2,,,,,,,1,1,1,,,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,3,,,,,,,,,,,,,,,,,,,8,2,2,,,,,,,,,,,,,,,,6,9,1,,,,2,7,5,,,,,,,,,,,,,0
